date,close
2020-01-01,122.8
2020-02-01,117.7
2020-03-01,113.8
2020-04-01,25.4
2020-05-01,28.5
2020-06-01,83.8
2020-07-01,86.2
2020-08-01,88.5
2020-09-01,83.4
2020-10-01,79.0
2020-11-01,92.0
2020-12-01,96.5
2021-01-01,84.9
2021-02-01,85.8
2021-03-01,93.4
2021-04-01,101.5
2021-05-01,104.4
2021-06-01,107.4
2021-07-01,80.2
2021-08-01,77.3
2021-09-01,95.5
2021-10-01,113.4
2021-11-01,118.5
2021-12-01,118.3
2022-01-01,119.6
2022-02-01,115.4
2022-03-01,111.0
2022-04-01,113.1
2022-05-01,128.2
2022-06-01,123.2
2022-07-01,124.7
2022-08-01,124.4
2022-09-01,117.2
2022-10-01,119.5
2022-11-01,119.9
2022-12-01,122.1
2023-01-01,123.0
2023-02-01,122.4
2023-03-01,123.3
2023-04-01,126.1
2023-05-01,127.1
2023-06-01,127.5
2023-07-01,123.5
2023-08-01,121.7
2023-09-01,121.4
2023-10-01,123.6
2023-11-01,123.6
2023-12-01,123.8
2024-01-01,125.3
2024-02-01,122.3
2024-03-01,123.8
2024-04-01,124.4
2024-05-01,125.2
2024-06-01,123.5
2024-07-01,121.4
2024-08-01,124.4
2024-09-01,124.2
2024-10-01,121.1
2024-11-01,125.6
2024-12-01,127.7
2025-01-01,128.5
2025-02-01,126.3
2025-03-01,124.1
