date,open,high,low,close,volume
2024-09-17,52.0,52.0,50.0,51.0,7202400
2024-09-18,51.0,53.0,50.0,51.0,17994600
2024-09-19,52.0,52.0,51.0,52.0,7306700
2024-09-20,52.0,57.0,51.0,52.0,247508300
2024-09-23,53.0,55.0,52.0,53.0,56057600
2024-09-24,53.0,55.0,52.0,53.0,43808900
2024-09-25,53.0,53.0,52.0,52.0,9937000
2024-09-26,53.0,54.0,52.0,53.0,21396600
2024-09-27,54.0,54.0,52.0,53.0,30711800
2024-09-30,53.0,54.0,52.0,52.0,21081500
2024-10-01,52.0,53.0,51.0,52.0,17025500
2024-10-02,52.0,53.0,51.0,51.0,19806200
2024-10-03,52.0,52.0,51.0,51.0,8144800
2024-10-04,52.0,52.0,50.0,50.0,46811000
2024-10-07,50.0,52.0,50.0,51.0,46297300
2024-10-08,51.0,52.0,51.0,51.0,11419500
2024-10-09,52.0,52.0,50.0,50.0,15334400
2024-10-10,51.0,51.0,50.0,50.0,10506300
2024-10-11,51.0,52.0,50.0,52.0,22672900
2024-10-14,52.0,52.0,51.0,51.0,9688800
2024-10-15,51.0,60.0,51.0,57.0,347724500
2024-10-16,58.0,58.0,55.0,55.0,88214900
2024-10-17,56.0,60.0,55.0,59.0,183980400
2024-10-18,60.0,78.0,57.0,77.0,744711500
2024-10-21,76.0,84.0,71.0,74.0,375059900
2024-10-22,71.0,76.0,69.0,73.0,158801000
2024-10-23,74.0,78.0,71.0,75.0,143718400
2024-10-24,75.0,94.0,75.0,89.0,652043400
2024-10-25,90.0,93.0,79.0,83.0,270357800
2024-10-28,81.0,92.0,81.0,86.0,313255900
2024-10-29,86.0,94.0,86.0,94.0,353456700
2024-10-30,94.0,116.0,94.0,111.0,859970500
2024-10-31,112.0,113.0,102.0,111.0,268465100
2024-11-01,112.0,112.0,103.0,106.0,165249700
2024-11-04,106.0,106.0,78.0,79.0,525633700
2024-11-05,78.0,85.0,68.0,70.0,490012900
2024-11-06,74.0,79.0,68.0,77.0,268978500
2024-11-07,78.0,79.0,72.0,73.0,102113400
2024-11-08,74.0,79.0,73.0,78.0,112039900
2024-11-11,78.0,85.0,75.0,82.0,188523200
2024-11-12,83.0,97.0,82.0,95.0,390313200
2024-11-13,96.0,102.0,88.0,91.0,414943100
2024-11-14,92.0,97.0,88.0,90.0,205995000
2024-11-15,90.0,93.0,77.0,79.0,165634900
2024-11-18,79.0,85.0,78.0,82.0,62341200
2024-11-19,83.0,87.0,80.0,83.0,72227500
2024-11-20,83.0,84.0,79.0,81.0,46118300
2024-11-21,81.0,82.0,75.0,76.0,77721200
2024-11-22,76.0,78.0,73.0,75.0,53732500
2024-11-25,75.0,78.0,71.0,71.0,37558500
2024-11-26,72.0,75.0,70.0,73.0,73707000
2024-11-28,73.0,74.0,70.0,71.0,26222100
2024-11-29,71.0,72.0,61.0,62.0,87116700
2024-12-02,63.0,65.0,59.0,60.0,57143300
2024-12-03,61.0,67.0,61.0,65.0,48618400
2024-12-04,65.0,68.0,62.0,63.0,38543600
2024-12-05,64.0,73.0,63.0,71.0,176994500
2024-12-06,72.0,73.0,68.0,69.0,57143200
2024-12-09,70.0,71.0,68.0,69.0,34666800
2024-12-10,69.0,70.0,66.0,67.0,28198100
2024-12-11,67.0,74.0,67.0,72.0,74887800
2024-12-12,72.0,73.0,69.0,69.0,29515700
2024-12-13,69.0,71.0,69.0,70.0,13321900
2024-12-16,69.0,70.0,61.0,64.0,67870000
2024-12-17,65.0,65.0,62.0,63.0,21269700
2024-12-18,63.0,66.0,62.0,63.0,28087600
2024-12-19,63.0,63.0,57.0,59.0,46535500
2024-12-20,59.0,64.0,59.0,64.0,29809200
2024-12-23,65.0,66.0,62.0,64.0,26278300
2024-12-24,64.0,66.0,62.0,64.0,19653500
2024-12-27,64.0,67.0,64.0,65.0,21831200
2024-12-30,65.0,66.0,63.0,65.0,11203700
2025-01-02,65.0,70.0,65.0,70.0,30464300
2025-01-03,70.0,71.0,68.0,68.0,16040700
2025-01-06,69.0,73.0,68.0,71.0,75871600
2025-01-07,71.0,71.0,69.0,69.0,26500500
2025-01-08,70.0,70.0,66.0,67.0,30089800
2025-01-09,67.0,67.0,64.0,65.0,18718400
2025-01-10,65.0,67.0,63.0,64.0,20823500
2025-01-13,64.0,66.0,59.0,59.0,39918600
2025-01-14,60.0,63.0,60.0,62.0,44361800
2025-01-15,62.0,73.0,60.0,67.0,182888000
2025-01-16,67.0,67.0,64.0,64.0,31281000
2025-01-17,65.0,68.0,63.0,63.0,35339300
2025-01-20,64.0,66.0,63.0,64.0,36833600
2025-01-21,64.0,69.0,64.0,66.0,39664600
2025-01-22,67.0,68.0,64.0,64.0,29821700
2025-01-23,64.0,65.0,62.0,63.0,16923300
2025-01-24,64.0,64.0,60.0,62.0,15678900
2025-01-30,62.0,63.0,60.0,61.0,19223900
2025-01-31,62.0,65.0,61.0,62.0,30231500
2025-02-03,62.0,66.0,60.0,66.0,46497900
2025-02-04,67.0,69.0,62.0,63.0,100154700
2025-02-05,64.0,66.0,62.0,63.0,73252900
2025-02-06,64.0,70.0,63.0,67.0,217804200
2025-02-07,67.0,67.0,61.0,62.0,55991000
2025-02-10,63.0,64.0,61.0,62.0,18146000
2025-02-11,62.0,66.0,61.0,63.0,38231000
2025-02-12,64.0,65.0,62.0,64.0,21524700
2025-02-13,64.0,64.0,62.0,62.0,12091300
2025-02-14,63.0,64.0,62.0,62.0,13347300
2025-02-17,63.0,65.0,62.0,64.0,24875800
2025-02-18,65.0,67.0,64.0,66.0,41372500
2025-02-19,66.0,68.0,64.0,64.0,23462100
2025-02-20,65.0,65.0,63.0,63.0,17094200
2025-02-21,63.0,64.0,62.0,63.0,16397400
2025-02-24,62.0,71.0,61.0,65.0,274103900
2025-02-25,66.0,67.0,61.0,61.0,67160100
2025-02-26,62.0,65.0,62.0,62.0,44636800
2025-02-27,62.0,63.0,57.0,59.0,59065900
2025-02-28,59.0,59.0,53.0,55.0,63481600
2025-03-03,54.0,58.0,54.0,57.0,26182400
2025-03-04,56.0,57.0,51.0,53.0,44576000
2025-03-05,53.0,55.0,53.0,55.0,17070600
2025-03-06,55.0,57.0,53.0,54.0,32252800
2025-03-07,54.0,56.0,54.0,55.0,10085700
2025-03-10,56.0,56.0,54.0,55.0,11473800
2025-03-11,55.0,55.0,53.0,54.0,14717700
2025-03-12,53.0,54.0,52.0,53.0,10282800
2025-03-13,53.0,54.0,52.0,52.0,6025900
2025-03-14,52.0,54.0,52.0,53.0,15686600
2025-03-17,53.0,54.0,52.0,54.0,13022000
2025-03-18,54.0,54.0,50.0,51.0,56284900
2025-03-19,51.0,53.0,50.0,52.0,12044700
2025-03-20,52.0,53.0,51.0,51.0,15042900
2025-03-21,51.0,52.0,50.0,50.0,49242100
2025-03-24,50.0,50.0,50.0,50.0,1807100
2025-03-25,50.0,50.0,50.0,50.0,2492200
2025-03-26,50.0,52.0,50.0,51.0,53890700
2025-03-27,51.0,52.0,50.0,51.0,33894100
2025-04-08,50.0,50.0,50.0,50.0,6465500
2025-04-09,50.0,50.0,50.0,50.0,925900
2025-04-10,50.0,51.0,50.0,50.0,15142600
2025-04-11,50.0,51.0,50.0,51.0,15220100
2025-04-14,51.0,54.0,50.0,52.0,48963700
2025-04-15,53.0,54.0,51.0,52.0,13478700
2025-04-16,52.0,54.0,51.0,52.0,27564900
2025-04-17,52.0,52.0,51.0,52.0,6303900
2025-04-21,52.0,52.0,51.0,52.0,3940500
2025-04-22,52.0,52.0,50.0,51.0,37448000
2025-04-23,52.0,53.0,51.0,51.0,13326900
2025-04-24,52.0,53.0,51.0,52.0,13342100
2025-04-25,52.0,55.0,51.0,53.0,31544000
2025-04-28,53.0,56.0,53.0,55.0,26071700
2025-04-29,55.0,58.0,55.0,56.0,18685100
2025-04-30,56.0,58.0,55.0,55.0,14043400
2025-05-02,55.0,56.0,52.0,53.0,30336000
2025-05-05,53.0,53.0,51.0,51.0,42949900
2025-05-06,52.0,53.0,51.0,52.0,39540200
2025-05-07,53.0,53.0,51.0,52.0,9310600
2025-05-08,52.0,53.0,51.0,51.0,16030300
2025-05-09,51.0,52.0,51.0,51.0,24729100
2025-05-14,52.0,52.0,51.0,52.0,9620100
2025-05-15,52.0,52.0,50.0,51.0,19787100
2025-05-16,51.0,53.0,51.0,53.0,17830900
2025-05-19,53.0,54.0,51.0,52.0,10671100
2025-05-20,52.0,53.0,51.0,52.0,4761800
2025-05-21,52.0,52.0,50.0,51.0,30120100
2025-05-22,51.0,52.0,50.0,51.0,19204500
2025-05-23,52.0,52.0,50.0,51.0,8696400
2025-05-26,51.0,53.0,50.0,51.0,30008100
2025-05-27,52.0,53.0,51.0,52.0,30629500
2025-05-28,52.0,52.0,51.0,52.0,20034600
2025-06-02,52.0,52.0,51.0,51.0,8414400
2025-06-03,51.0,52.0,50.0,50.0,25741900
2025-06-04,50.0,51.0,50.0,51.0,21821400
2025-06-05,51.0,52.0,50.0,52.0,51336500
2025-06-10,52.0,53.0,50.0,52.0,58381000
2025-06-11,51.0,52.0,50.0,51.0,78587800
2025-06-12,51.0,52.0,50.0,50.0,12006300
2025-06-13,51.0,53.0,50.0,52.0,37033900
2025-06-16,52.0,52.0,50.0,51.0,36010700
2025-06-17,51.0,52.0,50.0,51.0,24082300
2025-06-18,51.0,52.0,50.0,51.0,10095400
2025-06-19,51.0,52.0,50.0,51.0,24600700
2025-06-20,51.0,52.0,50.0,51.0,45395700
2025-06-23,52.0,52.0,50.0,51.0,46362300
2025-06-24,51.0,52.0,50.0,52.0,17087700
2025-06-25,51.0,52.0,50.0,50.0,10170000
2025-06-26,50.0,52.0,50.0,52.0,18142300
2025-06-30,52.0,52.0,51.0,51.0,7820900
2025-07-01,51.0,52.0,50.0,51.0,7420800
2025-07-02,51.0,52.0,50.0,51.0,16684400
2025-07-03,51.0,52.0,51.0,52.0,2365200
2025-07-04,52.0,52.0,51.0,51.0,2120400
2025-07-07,51.0,56.0,51.0,53.0,59240400
2025-07-08,53.0,55.0,53.0,54.0,32227500
2025-07-09,54.0,54.0,52.0,53.0,12457600
2025-07-10,54.0,55.0,52.0,54.0,13980000
2025-07-11,54.0,67.0,54.0,62.0,364652600
2025-07-14,62.0,63.0,58.0,58.0,74324100
2025-07-15,58.0,64.0,57.0,61.0,131295000
2025-07-16,62.0,65.0,60.0,64.0,142165000
2025-07-17,64.0,65.0,62.0,63.0,40828400
2025-07-18,63.0,64.0,59.0,60.0,54704300
2025-07-21,61.0,64.0,59.0,63.0,146860000
2025-07-22,63.0,64.0,60.0,61.0,50362000
2025-07-23,62.0,63.0,60.0,61.0,29743300
2025-07-24,62.0,62.0,60.0,61.0,27486600
2025-07-25,61.0,61.0,58.0,58.0,56128400
2025-07-28,58.0,60.0,58.0,58.0,21525900
2025-07-29,59.0,65.0,58.0,63.0,98186300
2025-07-30,64.0,64.0,60.0,60.0,54242400
2025-07-31,61.0,62.0,58.0,60.0,41357900
2025-08-01,60.0,61.0,58.0,61.0,32841800
2025-08-04,61.0,62.0,58.0,58.0,51108400
2025-08-05,62.0,73.0,62.0,66.0,734465900
2025-08-06,67.0,68.0,63.0,65.0,206725800
2025-08-07,66.0,76.0,65.0,74.0,414894100
2025-08-08,74.0,77.0,70.0,71.0,172585600
2025-08-11,72.0,76.0,71.0,72.0,157251600
2025-08-12,72.0,76.0,70.0,71.0,198080500
2025-08-13,71.0,73.0,70.0,71.0,69417100
2025-08-14,72.0,77.0,71.0,72.0,231115200
2025-08-15,75.0,76.0,72.0,72.0,169453200
2025-08-19,72.0,79.0,72.0,78.0,336712600
2025-08-20,78.0,80.0,71.0,74.0,218406400
2025-08-21,73.0,77.0,72.0,74.0,76018000
2025-08-22,74.0,76.0,72.0,74.0,50696000
