date,close
2023-03-27,874.0
2023-03-28,879.5
2023-03-29,880.0
2023-03-30,881.25
2023-03-31,881.0
2023-04-03,868.5
2023-04-04,888.75
2023-04-05,870.5
2023-04-06,859.75
2023-04-10,858.25
2023-04-11,863.75
2023-04-12,849.0
2023-04-13,843.75
2023-04-14,842.0
2023-04-17,846.75
2023-04-18,859.75
2023-04-19,856.25
2023-04-20,854.5
2023-04-21,854.5
2023-04-24,854.5
2023-04-25,850.75
2023-04-26,847.5
2023-04-27,844.75
2023-04-28,843.25
2023-05-01,747.25
2023-05-02,762.25
2023-05-03,762.5
2023-05-04,762.5
2023-05-05,799.5
2023-05-08,830.0
2023-05-09,832.0
2023-05-10,816.75
2023-05-11,798.75
2023-05-12,802.25
2023-05-15,794.5
2023-05-16,787.25
2023-05-17,782.75
2023-05-18,778.0
2023-05-19,784.5
2023-05-22,781.0
2023-05-23,776.25
2023-05-24,776.75
2023-05-25,780.0
2023-05-26,782.25
2023-05-30,779.25
2023-05-31,777.25
2023-06-01,711.75
2023-06-02,734.75
2023-06-05,734.75
2023-06-06,721.25
2023-06-07,721.0
2023-06-08,710.75
2023-06-09,727.5
2023-06-12,723.5
2023-06-13,732.5
2023-06-14,736.5
2023-06-15,743.5
2023-06-16,770.5
2023-06-20,767.5
2023-06-21,758.25
2023-06-22,755.25
2023-06-23,757.25
2023-06-26,761.0
2023-06-27,760.0
2023-06-28,761.75
2023-06-29,761.75
2023-06-30,762.0
2023-07-03,852.75
2023-07-05,833.0
2023-07-06,839.5
2023-07-07,826.25
2023-07-10,840.5
2023-07-11,835.25
2023-07-12,842.0
2023-07-13,839.0
2023-07-14,849.75
2023-07-17,851.25
2023-07-18,849.0
2023-07-19,849.0
2023-07-20,861.25
2023-07-21,860.25
2023-07-24,867.5
2023-07-25,862.5
2023-07-26,862.5
2023-07-27,862.25
2023-07-28,861.5
2023-07-31,860.25
2023-08-01,859.5
2023-08-02,865.0
2023-08-03,843.25
2023-08-04,851.75
2023-08-07,836.0
2023-08-08,818.5
2023-08-09,830.5
2023-08-10,824.5
2023-08-11,822.75
2023-08-14,816.75
2023-08-15,825.25
2023-08-16,828.5
2023-08-17,835.75
2023-08-18,831.5
2023-08-21,836.0
2023-08-22,831.25
2023-08-23,829.0
2023-08-24,832.0
2023-08-25,834.75
2023-08-28,833.25
2023-08-29,833.75
2023-08-30,834.5
2023-08-31,869.0
2023-09-01,873.75
2023-09-05,843.5
2023-09-06,838.75
2023-09-07,829.75
2023-09-08,829.5
2023-09-11,813.25
2023-09-12,808.25
2023-09-13,813.25
2023-09-14,817.5
2023-09-15,819.0
2023-09-18,811.0
2023-09-19,810.75
2023-09-20,808.5
2023-09-21,805.75
2023-09-22,806.25
2023-09-25,807.75
2023-09-26,807.0
2023-09-27,808.25
2023-09-28,808.25
2023-09-29,808.5
2023-10-02,792.0
2023-10-03,789.5
2023-10-04,790.0
2023-10-05,771.75
2023-10-06,770.0
2023-10-09,770.75
2023-10-10,763.5
2023-10-11,760.5
2023-10-12,772.5
2023-10-13,783.75
2023-10-16,785.75
2023-10-17,786.5
2023-10-18,788.25
2023-10-19,782.5
2023-10-20,782.5
2023-10-23,781.25
2023-10-24,776.25
2023-10-25,777.0
2023-10-26,779.75
2023-10-27,780.5
2023-10-30,780.0
2023-10-31,779.5
2023-11-01,776.0
2023-11-02,798.0
2023-11-03,796.0
2023-11-06,804.75
2023-11-07,800.75
2023-11-08,807.75
2023-11-09,802.25
2023-11-10,806.0
2023-11-13,806.0
2023-11-14,820.5
2023-11-15,835.25
2023-11-16,828.75
2023-11-17,824.0
2023-11-20,825.0
2023-11-21,828.25
2023-11-22,829.5
2023-11-24,823.25
2023-11-27,823.5
2023-11-28,823.75
2023-11-29,823.75
2023-11-30,824.0
2023-12-01,831.25
2023-12-04,823.5
2023-12-05,814.25
2023-12-06,802.5
2023-12-07,799.25
2023-12-08,806.25
2023-12-11,804.25
2023-12-12,803.5
2023-12-13,793.0
2023-12-14,798.75
2023-12-15,798.25
2023-12-18,800.25
2023-12-19,801.0
2023-12-20,804.5
2023-12-21,802.25
2023-12-22,803.25
2023-12-26,804.75
2023-12-27,804.5
2023-12-28,804.25
2023-12-29,804.25
2024-01-02,795.75
2024-01-03,781.5
2024-01-04,787.0
2024-01-05,790.5
2024-01-08,793.0
2024-01-09,799.5
2024-01-10,802.0
2024-01-11,808.75
2024-01-12,816.5
2024-01-16,814.5
2024-01-17,807.5
2024-01-18,814.25
2024-01-19,817.75
2024-01-22,815.25
2024-01-23,817.0
2024-01-24,819.5
2024-01-25,819.5
2024-01-26,820.5
2024-01-29,818.25
2024-01-30,816.25
2024-01-31,815.75
2024-02-01,799.0
2024-02-02,791.25
2024-02-05,794.0
2024-02-06,800.0
2024-02-07,804.0
2024-02-08,803.75
2024-02-09,805.0
2024-02-12,805.0
2024-02-13,810.0
2024-02-14,813.75
2024-02-15,804.5
2024-02-16,803.25
2024-02-20,807.75
2024-02-21,807.5
2024-02-22,806.25
2024-02-23,807.75
2024-02-26,808.25
2024-02-27,810.0
2024-02-28,810.0
2024-02-29,810.75
2024-03-01,830.25
2024-03-04,826.5
2024-03-05,835.25
2024-03-06,849.75
2024-03-07,850.0
2024-03-08,856.0
2024-03-11,863.0
2024-03-12,865.25
2024-03-13,874.5
2024-03-14,886.25
2024-03-15,883.75
2024-03-18,884.0
2024-03-19,880.25
2024-03-20,884.75
2024-03-21,885.25
2024-03-22,880.5
2024-03-25,883.25
2024-03-26,883.25
2024-03-27,881.0
2024-03-28,881.0
2024-04-01,881.5
2024-04-02,898.25
2024-04-03,917.25
2024-04-04,918.0
2024-04-05,907.5
2024-04-08,898.0
2024-04-09,902.5
2024-04-10,902.5
2024-04-11,902.5
2024-04-12,895.25
2024-04-15,885.25
2024-04-16,876.25
2024-04-17,869.75
2024-04-18,868.0
2024-04-19,862.75
2024-04-22,864.25
2024-04-23,866.25
2024-04-24,864.75
2024-04-25,861.75
2024-04-26,862.5
2024-04-29,863.0
2024-04-30,862.0
2024-05-01,798.75
2024-05-02,804.5
2024-05-03,810.25
2024-05-06,812.75
2024-05-07,826.0
2024-05-08,814.25
2024-05-09,809.0
2024-05-10,805.75
2024-05-13,813.5
2024-05-14,808.75
2024-05-15,816.25
2024-05-16,812.75
2024-05-17,821.5
2024-05-20,824.0
2024-05-21,819.25
2024-05-22,819.25
2024-05-23,820.0
2024-05-24,819.0
2024-05-28,823.0
2024-05-29,825.0
2024-05-30,824.0
2024-05-31,825.0
2024-06-03,866.0
2024-06-04,835.25
2024-06-05,831.25
2024-06-06,842.5
2024-06-07,844.75
2024-06-10,833.0
2024-06-11,833.25
2024-06-12,838.75
2024-06-13,836.0
2024-06-14,835.25
2024-06-17,835.25
2024-06-18,830.5
2024-06-20,837.5
2024-06-21,833.0
2024-06-24,833.0
2024-06-25,831.25
2024-06-26,832.0
2024-06-27,832.0
2024-06-28,832.25
2024-07-01,842.25
