date,coal_pct,coal_lag1,coal_lag2,coal_ma5,oil_pct,oil_lag1,oil_lag2,oil_ma5,gold_pct,gold_lag1,gold_lag2,gold_ma5,cpo_pct,cpo_lag1,cpo_lag2,cpo_ma5,beras_pct,beras_lag1,beras_lag2,beras_ma5,gandum_pct,gandum_lag1,gandum_lag2,gandum_ma5,jagung_pct,jagung_lag1,jagung_lag2,jagung_ma5,kedelai_pct,kedelai_lag1,kedelai_lag2,kedelai_ma5
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28,0.009534196808042683,,,,0.006784418339258913,,,,0.010243802371392663,,,,0.0062929061784897655,,,,-0.005046257359125339,,,,0.002507163323782313,,,,-0.001542614731970704,,,,0.017680707228289183,,,
2023-03-29,0.0014530491529238798,0.009534196808042683,,,-0.00470442135287541,0.006784418339258913,,,-0.003194102996422754,0.010243802371392663,,,0.0005685048322909836,0.0062929061784897655,,,-0.0022541561003099897,-0.005046257359125339,,,0.007145409074669429,0.002507163323782313,,,0.005021243723445368,-0.001542614731970704,,,0.006472491909385036,0.017680707228289183,,
2023-03-30,-0.0014509408645296817,0.0014530491529238798,0.009534196808042683,,0.012646881441078506,-0.00470442135287541,0.006784418339258913,,0.007222457361536705,-0.003194102996422754,0.010243802371392663,,0.0014204545454545858,0.0005685048322909836,0.0062929061784897655,,-0.005930528099406973,-0.0022541561003099897,-0.005046257359125339,,-0.01773678609435969,0.007145409074669429,0.002507163323782313,,-0.001537279016141424,0.005021243723445368,-0.001542614731970704,,-0.0018615671010323576,0.006472491909385036,0.017680707228289183,
2023-03-31,0.004722188042828757,-0.0014509408645296817,0.0014530491529238798,,0.006307556719743257,0.012646881441078506,-0.00470442135287541,,-0.005706230646619459,0.007222457361536705,-0.003194102996422754,,-0.00028368794326238955,0.0014204545454545858,0.0005685048322909836,,-0.010511363636363624,-0.005930528099406973,-0.0022541561003099897,,0.0,-0.01773678609435969,0.007145409074669429,,0.016936104695919996,-0.001537279016141424,0.005021243723445368,,0.02102407595795186,-0.0018615671010323576,0.006472491909385036,
2023-04-03,0.07266813326097088,0.004722188042828757,-0.0014509408645296817,0.017446932170334772,0.06468602080050201,0.006307556719743257,0.012646881441078506,0.017280310644462338,0.007567305441372518,-0.005706230646619459,0.007222457361536705,0.003201154424253616,-0.014188422247446097,-0.00028368794326238955,0.0014204545454545858,-0.0012512085537166318,-0.019236290554120017,-0.010511363636363624,-0.005930528099406973,-0.008550396375990865,0.0018057060310581186,0.0,-0.01773678609435969,-0.0012905075996558768,-0.00416351249053748,0.016936104695919996,-0.001537279016141424,0.0029176904176904106,0.010959814015277347,0.02102407595795186,-0.0018615671010323576,0.010824934677118314
2023-04-04,-0.033704076806785555,0.07266813326097088,0.004722188042828757,0.00814520174646205,0.00011776917690475841,0.06468602080050201,0.006307556719743257,0.015689700701645437,0.019305371382877246,0.007567305441372518,-0.005706230646619459,0.005044716349597911,0.023316062176165886,-0.014188422247446097,-0.00028368794326238955,0.002106941518136729,-0.016978922716627598,-0.019236290554120017,-0.010511363636363624,-0.010908675538294665,-0.002883922134102379,0.0018057060310581186,0.0,-0.0023689877961234895,-0.006081337894336736,-0.00416351249053748,0.016936104695919996,0.0019905068136578663,-0.002956636005256197,0.010959814015277347,0.02102407595795186,0.006680542500335562
2023-04-05,-0.022323069904304438,-0.033704076806785555,0.07266813326097088,0.003260081847234142,0.000588596902828753,0.00011776917690475841,0.06468602080050201,0.016478791645090585,-0.0006428280037585887,0.019305371382877246,0.007567305441372518,0.005523363284596572,-0.02053445850914204,0.023316062176165886,-0.014188422247446097,-0.0021593362882145195,0.002382370458606342,-0.016978922716627598,-0.019236290554120017,-0.010105092966855245,-0.013738250180766465,-0.002883922134102379,0.0018057060310581186,-0.00654817586529477,-0.001529636711281035,-0.006081337894336736,-0.00416351249053748,0.0006876528117361058,-0.004283360790774293,-0.002956636005256197,0.010959814015277347,0.004501950845366309
2023-04-06,-0.03210845662486239,-0.022323069904304438,-0.033704076806785555,-0.0028256569530611397,0.0015296492067322642,0.000588596902828753,0.00011776917690475841,0.014133863710514394,-0.004453461275309434,-0.0006428280037585887,0.019305371382877246,0.0031675045288608317,-0.012349224583572682,-0.02053445850914204,0.023316062176165886,-0.004897494305239114,-0.01158645276292336,0.002382370458606342,-0.016978922716627598,-0.011258239514670643,-0.009530791788856297,-0.013738250180766465,-0.002883922134102379,-0.004852962480081047,-0.01417081577939483,-0.001529636711281035,-0.006081337894336736,-0.0018324807207757976,-0.012243547319655823,-0.004283360790774293,-0.002956636005256197,0.0023902795299117763
2023-04-10,0.0,-0.03210845662486239,-0.022323069904304438,-0.003754617659131987,-0.011043261408306249,0.0015296492067322642,0.000588596902828753,0.010506262446954961,-0.011332595333490958,-0.004453461275309434,-0.0006428280037585887,0.0020084109090721114,-0.0017446932247746627,-0.012349224583572682,-0.02053445850914204,-0.005207737209568575,-0.01352569882777277,-0.01158645276292336,0.002382370458606342,-0.011858407079645916,0.004441154700222105,-0.009530791788856297,-0.013738250180766465,-0.004003202562049668,0.01631701631701632,-0.01417081577939483,-0.001529636711281035,-0.0019888319437006974,-0.0035175879396984744,-0.012243547319655823,-0.004283360790774293,-0.0024176988805723054
