date,close
2023-03-27,648.25
2023-03-28,647.25
2023-03-29,650.5
2023-03-30,649.5
2023-03-31,660.5
2023-04-03,657.75
2023-04-04,653.75
2023-04-05,652.75
2023-04-06,643.5
2023-04-10,654.0
2023-04-11,651.0
2023-04-12,656.0
2023-04-13,652.25
2023-04-14,666.25
2023-04-17,676.5
2023-04-18,677.5
2023-04-19,672.25
2023-04-20,663.75
2023-04-21,663.25
2023-04-24,651.25
2023-04-25,646.5
2023-04-26,641.5
2023-04-27,627.0
2023-04-28,636.0
2023-05-01,639.5
2023-05-02,638.0
2023-05-03,645.25
2023-05-04,646.5
2023-05-05,653.25
2023-05-08,656.5
2023-05-09,642.25
2023-05-10,645.5
2023-05-11,632.5
2023-05-12,633.25
2023-05-15,592.5
2023-05-16,581.25
2023-05-17,561.5
2023-05-18,555.25
2023-05-19,554.5
2023-05-22,571.0
2023-05-23,577.5
2023-05-24,587.25
2023-05-25,590.75
2023-05-26,604.0
2023-05-30,594.0
2023-05-31,594.0
2023-06-01,592.5
2023-06-02,609.0
2023-06-05,597.5
2023-06-06,608.0
2023-06-07,604.25
2023-06-08,610.25
2023-06-09,604.25
2023-06-12,617.25
2023-06-13,612.5
2023-06-14,607.75
2023-06-15,623.25
2023-06-16,640.25
2023-06-20,643.75
2023-06-21,671.0
2023-06-22,660.5
2023-06-23,630.75
2023-06-26,637.25
2023-06-27,623.0
2023-06-28,590.0
2023-06-29,581.0
2023-06-30,554.5
2023-07-03,557.25
2023-07-05,548.25
2023-07-06,566.75
2023-07-07,560.5
2023-07-10,570.75
2023-07-11,571.75
2023-07-12,549.75
2023-07-13,593.5
2023-07-14,599.75
2023-07-17,499.25
2023-07-18,528.75
2023-07-19,545.5
2023-07-20,537.25
2023-07-21,527.0
2023-07-24,560.5
2023-07-25,557.5
2023-07-26,540.25
2023-07-27,533.25
2023-07-28,521.0
2023-07-31,504.0
2023-08-01,497.0
2023-08-02,488.25
2023-08-03,480.75
2023-08-04,484.25
2023-08-07,482.25
2023-08-08,485.75
2023-08-09,481.0
2023-08-10,483.25
2023-08-11,474.5
2023-08-14,475.75
2023-08-15,464.0
2023-08-16,469.5
2023-08-17,473.0
2023-08-18,479.5
2023-08-21,469.25
2023-08-22,466.5
2023-08-23,476.25
2023-08-24,472.25
2023-08-25,470.75
2023-08-28,478.5
2023-08-29,469.5
2023-08-30,461.75
2023-08-31,461.0
2023-09-01,464.75
2023-09-05,471.0
2023-09-06,471.5
2023-09-07,470.75
2023-09-08,468.5
2023-09-11,471.25
2023-09-12,463.25
2023-09-13,464.0
2023-09-14,462.5
2023-09-15,476.25
2023-09-18,471.5
2023-09-19,476.25
2023-09-20,482.25
2023-09-21,475.25
2023-09-22,477.25
2023-09-25,481.25
2023-09-26,479.75
2023-09-27,483.25
2023-09-28,488.5
2023-09-29,476.75
2023-10-02,488.75
2023-10-03,487.5
2023-10-04,486.0
2023-10-05,497.5
2023-10-06,492.0
2023-10-09,488.25
2023-10-10,485.5
2023-10-11,488.0
2023-10-12,496.0
2023-10-13,493.25
2023-10-16,490.0
2023-10-17,489.0
2023-10-18,492.0
2023-10-19,505.0
2023-10-20,495.5
2023-10-23,490.25
2023-10-24,484.0
2023-10-25,480.0
2023-10-26,479.25
2023-10-27,480.75
2023-10-30,478.25
2023-10-31,478.75
2023-11-01,475.0
2023-11-02,470.0
2023-11-03,477.25
2023-11-06,477.25
2023-11-07,468.5
2023-11-08,476.0
2023-11-09,468.0
2023-11-10,464.0
2023-11-13,477.25
2023-11-14,478.25
2023-11-15,470.75
2023-11-16,474.75
2023-11-17,467.0
2023-11-20,469.5
2023-11-21,470.0
2023-11-22,468.75
2023-11-24,463.25
2023-11-27,455.5
2023-11-28,451.5
2023-11-29,449.75
2023-11-30,461.75
2023-12-01,464.5
2023-12-04,460.25
2023-12-05,468.5
2023-12-06,464.75
2023-12-07,468.25
2023-12-08,465.75
2023-12-11,460.5
2023-12-12,462.5
2023-12-13,456.75
2023-12-14,456.75
2023-12-15,483.0
2023-12-18,477.0
2023-12-19,472.75
2023-12-20,469.75
2023-12-21,472.5
2023-12-22,473.0
2023-12-26,480.25
2023-12-27,476.5
2023-12-28,474.25
2023-12-29,471.25
2024-01-02,463.75
2024-01-03,465.25
2024-01-04,466.5
2024-01-05,460.75
2024-01-08,455.0
2024-01-09,459.25
2024-01-10,459.5
2024-01-11,457.75
2024-01-12,447.0
2024-01-16,443.5
2024-01-17,442.25
2024-01-18,444.0
2024-01-19,445.5
2024-01-22,445.75
2024-01-23,446.5
2024-01-24,452.25
2024-01-25,451.75
2024-01-26,446.25
2024-01-29,440.25
2024-01-30,447.75
2024-01-31,448.25
2024-02-01,447.25
2024-02-02,442.75
2024-02-05,442.75
2024-02-06,438.75
2024-02-07,434.25
2024-02-08,433.25
2024-02-09,429.0
2024-02-12,430.5
2024-02-13,430.75
2024-02-14,424.25
2024-02-15,417.75
2024-02-16,416.5
2024-02-20,418.75
2024-02-21,411.0
2024-02-22,406.0
2024-02-23,399.75
2024-02-26,407.0
2024-02-27,408.25
2024-02-28,413.25
2024-02-29,415.75
2024-03-01,412.25
2024-03-04,417.5
2024-03-05,413.5
2024-03-06,418.0
2024-03-07,426.0
2024-03-08,426.25
2024-03-11,428.25
2024-03-12,429.0
2024-03-13,426.5
2024-03-14,422.5
2024-03-15,436.75
2024-03-18,436.0
2024-03-19,439.5
2024-03-20,439.0
2024-03-21,440.75
2024-03-22,439.25
2024-03-25,437.75
2024-03-26,432.5
2024-03-27,426.75
2024-03-28,442.0
2024-04-01,435.5
2024-04-02,426.5
2024-04-03,431.75
2024-04-04,435.25
2024-04-05,434.25
2024-04-08,435.5
2024-04-09,431.25
2024-04-10,434.25
2024-04-11,428.75
2024-04-12,435.5
2024-04-15,431.5
2024-04-16,431.0
2024-04-17,430.25
2024-04-18,426.75
2024-04-19,433.5
2024-04-22,439.75
2024-04-23,443.0
2024-04-24,437.75
2024-04-25,441.0
2024-04-26,440.0
2024-04-29,439.25
2024-04-30,439.5
2024-05-01,443.25
2024-05-02,452.0
2024-05-03,447.0
2024-05-06,457.0
2024-05-07,453.75
2024-05-08,445.5
2024-05-09,442.75
2024-05-10,455.75
2024-05-13,458.5
2024-05-14,453.75
2024-05-15,462.5
2024-05-16,457.0
2024-05-17,452.5
2024-05-20,460.5
2024-05-21,458.0
2024-05-22,461.25
2024-05-23,464.0
2024-05-24,464.75
2024-05-28,462.5
2024-05-29,455.25
2024-05-30,448.75
2024-05-31,446.25
2024-06-03,443.5
2024-06-04,442.5
2024-06-05,439.25
2024-06-06,452.0
2024-06-07,448.75
2024-06-10,451.75
2024-06-11,449.5
2024-06-12,454.25
2024-06-13,458.5
2024-06-14,450.0
2024-06-17,443.75
2024-06-18,450.0
2024-06-20,439.75
2024-06-21,435.0
2024-06-24,433.5
2024-06-25,425.5
2024-06-26,420.0
2024-06-27,413.75
2024-06-28,397.25
2024-07-01,398.25
2024-07-02,402.0
2024-07-03,403.5
2024-07-05,411.25
2024-07-08,395.75
2024-07-09,400.25
2024-07-10,403.25
2024-07-11,406.75
2024-07-12,400.0
2024-07-15,390.5
2024-07-16,395.75
2024-07-17,398.0
2024-07-18,391.25
2024-07-19,390.5
2024-07-22,400.25
2024-07-23,402.5
2024-07-24,403.75
2024-07-25,406.0
2024-07-26,394.5
2024-07-29,396.25
2024-07-30,388.75
2024-07-31,382.75
2024-08-01,382.0
2024-08-02,386.5
2024-08-05,390.75
2024-08-06,388.75
2024-08-07,383.25
2024-08-08,379.25
2024-08-09,376.75
2024-08-12,383.25
2024-08-13,377.75
2024-08-14,381.0
2024-08-15,375.0
2024-08-16,370.5
2024-08-19,378.0
2024-08-20,375.0
2024-08-21,375.5
2024-08-22,371.5
2024-08-23,367.75
2024-08-26,362.0
2024-08-27,367.25
2024-08-28,365.25
2024-08-29,371.75
2024-08-30,378.0
2024-09-03,386.5
2024-09-04,390.5
2024-09-05,390.0
2024-09-06,383.75
2024-09-09,384.25
2024-09-10,379.5
2024-09-11,380.5
2024-09-12,386.25
2024-09-13,390.75
2024-09-16,410.75
2024-09-17,412.5
2024-09-18,412.75
2024-09-19,405.75
2024-09-20,401.75
2024-09-23,413.5
2024-09-24,411.75
2024-09-25,415.25
2024-09-26,413.25
2024-09-27,418.0
2024-09-30,424.75
2024-10-01,429.0
2024-10-02,432.5
2024-10-03,428.25
2024-10-04,424.75
2024-10-07,426.0
2024-10-08,420.75
2024-10-09,421.0
2024-10-10,418.5
2024-10-11,415.75
2024-10-14,408.25
2024-10-15,401.25
2024-10-16,404.75
2024-10-17,406.75
2024-10-18,404.75
2024-10-21,409.5
2024-10-22,416.5
2024-10-23,419.0
2024-10-24,421.5
2024-10-25,415.25
2024-10-28,410.75
2024-10-29,413.75
2024-10-30,411.5
2024-10-31,410.75
2024-11-01,414.5
2024-11-04,416.5
2024-11-05,418.5
2024-11-06,426.25
2024-11-07,427.5
2024-11-08,431.0
2024-11-11,430.0
2024-11-12,428.5
2024-11-13,426.5
2024-11-14,419.0
2024-11-15,424.0
2024-11-18,429.25
2024-11-19,427.25
2024-11-20,430.25
2024-11-21,426.75
2024-11-22,425.5
2024-11-25,424.75
2024-11-26,420.0
2024-11-27,415.75
2024-11-29,423.0
2024-12-02,424.5
2024-12-03,423.25
2024-12-04,422.0
2024-12-05,426.5
2024-12-06,430.75
2024-12-09,434.0
2024-12-10,440.5
2024-12-11,438.0
2024-12-12,431.75
2024-12-13,430.0
2024-12-16,445.0
2024-12-17,443.5
2024-12-18,437.25
2024-12-19,440.75
2024-12-20,446.25
2024-12-23,447.75
2024-12-24,448.5
2024-12-26,453.75
2024-12-27,454.0
2024-12-30,452.25
2024-12-31,458.5
2025-01-02,459.5
2025-01-03,450.75
2025-01-06,457.75
2025-01-07,458.0
2025-01-08,454.0
2025-01-09,456.0
2025-01-10,470.5
2025-01-13,476.5
2025-01-14,474.5
2025-01-15,478.75
2025-01-16,474.5
2025-01-17,484.25
2025-01-21,490.0
2025-01-22,484.25
2025-01-23,489.75
2025-01-24,486.5
2025-01-27,482.0
2025-01-28,485.25
2025-01-29,497.0
2025-01-30,490.25
2025-01-31,482.0
2025-02-03,488.75
2025-02-04,494.5
2025-02-05,493.25
2025-02-06,495.25
2025-02-07,487.5
2025-02-10,491.5
2025-02-11,484.0
2025-02-12,490.25
2025-02-13,493.5
2025-02-14,496.25
