judul,sumber,tanggal,skor,saham,link
"Usulan WFH 1 Hari Tinggal Tunggu Prabowo, detikers Setuju Hari Apa?",Detik Finance,"Thu, 26 Mar 2026 13:10:22 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8416199/usulan-wfh-1-hari-tinggal-tunggu-prabowo-detikers-setuju-hari-apa
"Maskapai Minta Harga Tiket Pesawat Naik, Kemenhub Bilang Begini",Detik Finance,"Thu, 26 Mar 2026 12:38:31 +070",1,,https://finance.detik.com/berita-ekonomi-bisnis/d-8416144/maskapai-minta-harga-tiket-pesawat-naik-kemenhub-bilang-begini
"Hemat Ekstrem! Sri Lanka Gelapkan Jalanan, Krisis Energi Memburuk",Detik Finance,"Thu, 26 Mar 2026 12:34:39 +070",-1,,https://finance.detik.com/energi/d-8416139/hemat-ekstrem-sri-lanka-gelapkan-jalanan-krisis-energi-memburuk
"Iran Akhirnya Izinkan Kapal-kapal Melintas di Selat Hormuz, tapi...",Detik Finance,"Thu, 26 Mar 2026 12:30:11 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8416135/iran-akhirnya-izinkan-kapal-kapal-melintas-di-selat-hormuz-tapi
"Iran Tolak Negosiasi Damai, Harga Minyak Langsung Ngamuk",Detik Finance,"Thu, 26 Mar 2026 12:17:45 +070",0,,https://finance.detik.com/energi/d-8416114/iran-tolak-negosiasi-damai-harga-minyak-langsung-ngamuk
"Beli Pertamax Diskon hingga Rp 15.000 Sampai 31 Maret, Ini Syaratnya",Detik Finance,"Thu, 26 Mar 2026 11:48:31 +070",0,,https://finance.detik.com/energi/d-8416047/beli-pertamax-diskon-hingga-rp-15-000-sampai-31-maret-ini-syaratnya
Ngeri! Perusahaan Ini Didenda Rp 214 Miliar Gegara SPT Tak Jujur,Detik Finance,"Thu, 26 Mar 2026 11:40:26 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8416025/ngeri-perusahaan-ini-didenda-rp-214-miliar-gegara-spt-tak-jujur
Waspada! Fenomena Godzilla El Nino Bisa Bikin Kemarau Lebih Panjang,Detik Finance,"Thu, 26 Mar 2026 11:09:36 +070",0,,https://finance.detik.com/berita-ekonomi-bisnis/d-8415956/waspada-fenomena-godzilla-el-nino-bisa-bikin-kemarau-lebih-panjang
Titah Prabowo ke Bahlil: Cari Penerimaan di Sektor Mineral yang Belum Adil,Detik Finance,"Thu, 26 Mar 2026 11:01:20 +070",0,,https://finance.detik.com/energi/d-8415942/titah-prabowo-ke-bahlil-cari-penerimaan-di-sektor-mineral-yang-belum-adil
Antrean BBM di Myanmar Imbas Konflik AS-Israel dan Iran,Detik Finance,"Thu, 26 Mar 2026 11:00:16 +070",0,,https://finance.detik.com/foto-bisnis/d-8415572/antrean-bbm-di-myanmar-imbas-konflik-as-israel-dan-iran
