variabel,pearson_r,lag1_r
sti_singapore,0.234,0.0391
nikkei,0.1348,0.0422
sensex,0.1273,0.0669
kospi,0.1153,0.0107
ftse100,0.1058,0.1342
emas,-0.1047,0.0271
msci_world,0.0844,0.1404
sp500,0.0829,0.1229
nasdaq,0.0788,0.1034
dow_jones,0.073,0.1442
oil_gas_ratio,0.0663,0.0996
fear_greed_proxy,-0.0557,-0.1338
vix,-0.0557,-0.1338
asx200,0.0556,0.1162
msci_em,0.0518,0.1277
hang_seng,0.0293,0.1123
beras,0.0203,0.1163
