fitur,importance
volatility_10d,0.19519646019234602
volatility_5d,0.1031972217750983
close_vs_sma5,0.06376241332504726
range_pct,0.05614164955442531
vol_ratio,0.029596549276066777
makro_oil_gas_ratio_z20,0.02293089274083818
makro_kospi_z20,0.02224350323457827
makro_dow_jones_z20,0.020982057495965347
makro_msci_em_ret,0.02012116831951533
close_vs_sma50,0.018108487315557757
makro_emas_z20,0.016564895711137263
close_vs_sma10,0.015124141150945238
bb_pct,0.014621324431613769
makro_asx200_lag1,0.014542445727686312
ret_2d,0.013145131676888418
makro_sti_singapore_z20,0.013115024696547297
bulan,0.013080458143861521
near_high20,0.013029135704829194
macd_hist,0.011706422129122264
makro_hang_seng_ret,0.011326688652479712
makro_sensex_ret,0.010873946536563763
makro_sti_singapore_lag1,0.01072441436702456
makro_nikkei_z20,0.010379079008148058
makro_beras_z20,0.010136221036922122
macd,0.009957143222753172
ret_1d,0.00957429665305865
makro_sensex_z20,0.009209234931736966
makro_sensex_lag1,0.00895323587349862
mfi,0.008924419452771755
ret_3d,0.008029374005717889
ret_5d_sum,0.007814097129930087
rsi,0.007675565461707815
makro_dow_jones_ret,0.007595766500236567
makro_vix_ret,0.007366570206149683
makro_asx200_ret,0.007348657894200064
ret_5d,0.007126561620370336
makro_msci_em_z20,0.007073680272194784
makro_asx200_z20,0.006807366868052952
makro_beras_ret,0.006746680738855641
makro_oil_gas_ratio_ret,0.006719559381025327
makro_oil_gas_ratio_lag1,0.006342773790220641
makro_emas_lag1,0.00612346829712458
stoch_k,0.006122931990091341
makro_msci_world_ret,0.006120455117033922
makro_hang_seng_z20,0.005855446169081369
makro_vix_z20,0.005830962591598911
makro_sti_singapore_ret,0.005785735956342509
makro_ftse100_z20,0.005611895607068246
makro_ftse100_ret,0.005552980439870209
makro_beras_lag1,0.005323261554270015
makro_ftse100_lag1,0.004980279983403823
makro_nikkei_ret,0.00489266674711124
makro_nasdaq_lag1,0.004675327088786181
makro_kospi_ret,0.00461114481231288
makro_nikkei_lag1,0.004470061161061272
makro_kospi_lag1,0.004459022362573363
makro_fear_greed_proxy_z20,0.004363505871441343
makro_fear_greed_proxy_ret,0.004314790694313753
makro_dow_jones_lag1,0.004277379837342507
makro_sp500_ret,0.004226916325888232
makro_msci_world_z20,0.004120130960687191
makro_sp500_lag1,0.003689099905634695
makro_nasdaq_z20,0.003677462704894179
makro_sp500_z20,0.003575470249201961
makro_msci_em_lag1,0.003374936648514848
makro_vix_lag1,0.0032491443327779214
makro_hang_seng_lag1,0.003128570349137234
makro_emas_ret,0.002605905127577067
makro_msci_world_lag1,0.002077918779397503
makro_fear_greed_proxy_lag1,0.0020754289669461436
makro_nasdaq_ret,0.001526406803226428
vol_naik,0.0010079104679089712
golden_cross,0.0010008161231656444
bb_squeeze,0.0005596977155602216
strong_candle,0.0003537825870033822
hari,0.00035250255184994213
jumat,0.0002415259771180428
akumulasi_2d,0.00023007195204510834
rsi_cross50,0.00022135909614125676
mfi_oversold,0.00021243454824236246
stoch_oversold,0.00020889817160585805
doji,0.00020002600656144503
hammer,0.00017934054582804696
akumulasi,0.00017423753269752375
senin,0.00016418518558273626
stoch_cross,0.0001182508362914082
rsi_oversold,6.172064652266528e-05
rsi_naik,4.56204261710989e-05
macd_cross,3.7576146276523074e-05
below_bb,1.2845330151920905e-05
macd_positif,3.774477463435193e-06
sma5_cross10,3.541235130587773e-11
breakout_up,0.0
vol_spike,0.0
