date,close
2024-04-16,990.0
2024-04-17,960.0
2024-04-18,1000.0
2024-04-19,1000.0
2024-04-22,1065.0
2024-04-23,1050.0
2024-04-24,985.0
2024-04-25,840.0
2024-04-26,820.0
2024-04-29,885.0
2024-04-30,910.0
2024-05-02,860.0
2024-05-03,870.0
2024-05-06,900.0
2024-05-07,960.0
2024-05-08,945.0
2024-05-13,920.0
2024-05-14,905.0
2024-05-15,950.0
2024-05-16,945.0
2024-05-17,975.0
2024-05-20,970.0
2024-05-21,945.0
2024-05-22,935.0
2024-05-27,890.0
2024-05-28,925.0
2024-05-29,915.0
2024-05-30,910.0
2024-05-31,895.0
2024-06-03,860.0
2024-06-04,845.0
2024-06-05,810.0
2024-06-06,810.0
2024-06-07,855.0
2024-06-10,845.0
2024-06-11,840.0
2024-06-12,835.0
2024-06-13,835.0
2024-06-14,815.0
2024-06-19,780.0
2024-06-20,795.0
2024-06-21,810.0
2024-06-24,835.0
2024-06-25,840.0
2024-06-26,870.0
2024-06-27,880.0
2024-06-28,875.0
2024-07-01,925.0
2024-07-02,935.0
2024-07-03,945.0
2024-07-04,960.0
2024-07-05,1000.0
2024-07-08,1000.0
2024-07-09,980.0
2024-07-10,970.0
2024-07-11,1010.0
2024-07-12,995.0
2024-07-15,975.0
2024-07-16,1010.0
2024-07-17,1075.0
2024-07-18,1035.0
2024-07-19,1005.0
2024-07-22,995.0
2024-07-23,1000.0
2024-07-24,970.0
2024-07-25,930.0
2024-07-26,950.0
2024-07-29,960.0
2024-07-30,960.0
2024-07-31,945.0
2024-08-01,975.0
2024-08-02,980.0
2024-08-05,900.0
2024-08-06,915.0
2024-08-07,920.0
2024-08-08,925.0
2024-08-09,955.0
2024-08-12,1010.0
2024-08-13,995.0
2024-08-14,995.0
2024-08-15,1025.0
2024-08-16,1030.0
2024-08-19,1035.0
2024-08-20,1035.0
2024-08-21,1025.0
2024-08-22,1015.0
2024-08-23,1030.0
2024-08-26,1060.0
2024-08-27,1040.0
2024-08-28,1030.0
2024-08-29,995.0
2024-08-30,1000.0
2024-09-02,1000.0
2024-09-03,1005.0
2024-09-04,985.0
2024-09-05,995.0
2024-09-06,1000.0
2024-09-09,970.0
2024-09-10,975.0
2024-09-11,985.0
2024-09-12,1010.0
2024-09-13,1005.0
2024-09-17,1030.0
2024-09-18,1015.0
2024-09-19,1030.0
2024-09-20,1010.0
2024-09-23,1045.0
2024-09-24,1070.0
2024-09-25,1130.0
2024-09-26,1150.0
2024-09-27,1150.0
2024-09-30,1155.0
2024-10-01,1180.0
2024-10-02,1180.0
2024-10-03,1170.0
2024-10-04,1190.0
2024-10-07,1250.0
2024-10-08,1230.0
2024-10-09,1250.0
2024-10-10,1255.0
2024-10-11,1315.0
2024-10-14,1430.0
2024-10-15,1380.0
2024-10-16,1375.0
2024-10-17,1365.0
2024-10-18,1335.0
2024-10-21,1360.0
2024-10-22,1390.0
2024-10-23,1340.0
2024-10-24,1335.0
2024-10-25,1285.0
2024-10-28,1330.0
