date,close
2024-04-16,920.0
2024-04-17,920.0
2024-04-18,895.0
2024-04-19,880.0
2024-04-22,965.0
2024-04-23,960.0
2024-04-24,930.0
2024-04-25,930.0
2024-04-26,950.0
2024-04-29,970.0
2024-04-30,970.0
2024-05-02,925.0
2024-05-03,915.0
2024-05-06,935.0
2024-05-07,960.0
2024-05-08,970.0
2024-05-13,970.0
2024-05-14,970.0
2024-05-15,955.0
2024-05-16,975.0
2024-05-17,1035.0
2024-05-20,1030.0
2024-05-21,1035.0
2024-05-22,1070.0
2024-05-27,1065.0
2024-05-28,1060.0
2024-05-29,1030.0
2024-05-30,1010.0
2024-05-31,1005.0
2024-06-03,990.0
2024-06-04,920.0
2024-06-05,895.0
2024-06-06,920.0
2024-06-07,940.0
2024-06-10,940.0
2024-06-11,960.0
2024-06-12,980.0
2024-06-13,980.0
2024-06-14,980.0
2024-06-19,1000.0
2024-06-20,1010.0
2024-06-21,1025.0
2024-06-24,1015.0
2024-06-25,1000.0
2024-06-26,1000.0
2024-06-27,1010.0
2024-06-28,1010.0
2024-07-01,1000.0
2024-07-02,1000.0
2024-07-03,1000.0
2024-07-04,1000.0
2024-07-05,1000.0
2024-07-08,985.0
2024-07-09,985.0
2024-07-10,985.0
2024-07-11,970.0
2024-07-12,965.0
2024-07-15,935.0
2024-07-16,940.0
2024-07-17,935.0
2024-07-18,935.0
2024-07-19,930.0
2024-07-22,935.0
2024-07-23,925.0
2024-07-24,905.0
2024-07-25,890.0
2024-07-26,905.0
2024-07-29,910.0
2024-07-30,925.0
2024-07-31,915.0
2024-08-01,935.0
2024-08-02,930.0
2024-08-05,880.0
2024-08-06,885.0
2024-08-07,900.0
2024-08-08,895.0
2024-08-09,895.0
2024-08-12,940.0
2024-08-13,925.0
2024-08-14,935.0
2024-08-15,920.0
2024-08-16,920.0
2024-08-19,925.0
2024-08-20,925.0
2024-08-21,920.0
2024-08-22,905.0
2024-08-23,915.0
2024-08-26,915.0
2024-08-27,940.0
2024-08-28,935.0
2024-08-29,920.0
2024-08-30,910.0
2024-09-02,910.0
2024-09-03,900.0
2024-09-04,890.0
2024-09-05,880.0
2024-09-06,890.0
2024-09-09,880.0
2024-09-10,870.0
2024-09-11,860.0
2024-09-12,860.0
2024-09-13,865.0
2024-09-17,875.0
2024-09-18,875.0
2024-09-19,875.0
2024-09-20,890.0
2024-09-23,900.0
2024-09-24,900.0
2024-09-25,910.0
2024-09-26,905.0
2024-09-27,900.0
2024-09-30,900.0
2024-10-01,915.0
2024-10-02,905.0
2024-10-03,930.0
2024-10-04,915.0
2024-10-07,920.0
2024-10-08,905.0
2024-10-09,905.0
2024-10-10,920.0
2024-10-11,920.0
2024-10-14,915.0
2024-10-15,915.0
2024-10-16,915.0
2024-10-17,915.0
2024-10-18,915.0
2024-10-21,910.0
2024-10-22,910.0
2024-10-23,910.0
2024-10-24,905.0
2024-10-25,905.0
2024-10-28,890.0
2024-10-29,880.0
2024-10-30,890.0
2024-10-31,900.0
2024-11-01,885.0
2024-11-04,875.0
2024-11-05,875.0
2024-11-06,855.0
2024-11-07,855.0
2024-11-08,880.0
2024-11-11,870.0
2024-11-12,865.0
2024-11-13,880.0
2024-11-14,860.0
2024-11-15,860.0
2024-11-18,830.0
2024-11-19,820.0
2024-11-20,810.0
2024-11-21,810.0
2024-11-22,835.0
2024-11-25,830.0
2024-11-26,840.0
2024-11-28,845.0
2024-11-29,830.0
2024-12-02,825.0
2024-12-03,825.0
2024-12-04,830.0
2024-12-05,820.0
2024-12-06,830.0
2024-12-09,840.0
2024-12-10,835.0
2024-12-11,820.0
2024-12-12,820.0
2024-12-13,825.0
2024-12-16,800.0
2024-12-17,790.0
2024-12-18,785.0
2024-12-19,760.0
2024-12-20,750.0
2024-12-23,745.0
2024-12-24,740.0
2024-12-27,760.0
2024-12-30,755.0
2025-01-02,755.0
2025-01-03,775.0
2025-01-06,765.0
2025-01-07,755.0
2025-01-08,735.0
2025-01-09,705.0
2025-01-10,730.0
2025-01-13,720.0
2025-01-14,750.0
2025-01-15,740.0
2025-01-16,735.0
2025-01-17,745.0
2025-01-20,735.0
2025-01-21,730.0
2025-01-22,725.0
2025-01-23,725.0
2025-01-24,705.0
2025-01-30,700.0
2025-01-31,705.0
2025-02-03,700.0
2025-02-04,690.0
2025-02-05,690.0
2025-02-06,670.0
2025-02-07,670.0
2025-02-10,650.0
2025-02-11,630.0
2025-02-12,615.0
2025-02-13,620.0
2025-02-14,630.0
2025-02-17,630.0
2025-02-18,630.0
2025-02-19,615.0
2025-02-20,620.0
2025-02-21,665.0
2025-02-24,665.0
2025-02-25,635.0
2025-02-26,645.0
2025-02-27,635.0
2025-02-28,595.0
2025-03-03,615.0
2025-03-04,605.0
2025-03-05,655.0
2025-03-06,670.0
2025-03-07,715.0
2025-03-10,670.0
2025-03-11,680.0
2025-03-12,665.0
